ENTREZID
56944
3075
5308
64065
10457
54796
169611
27063
7299
6490
115701
56944
3075
5308
64065
10457
54796
169611
27063
7299
6490
115701
56944
3075
5308
64065
10457
54796
169611
27063
7299
6490
115701
56944
3075
5308
64065
10457
54796
169611
27063
7299
6490
115701
56944
3075
5308
64065
10457
54796
169611
27063
7299
6490
115701
56944
3075
5308
64065
10457
54796
169611
27063
7299
6490
115701
56944
3075
5308
64065
10457
54796
169611
27063
7299
6490
115701
56944
3075
5308
64065
10457
54796
169611
27063
7299
6490
115701
56944
3075
5308
64065
10457
54796
169611
27063
7299
6490
115701
56944
3075
5308
64065
10457
54796
169611
27063
7299
6490
115701
56944
3075
5308
64065
10457
54796
169611
27063
7299
6490
115701
